Gene		 Terms
A0A2R9YJI8:	 GO:0005506 GO:0016712 GO:0020037 
A0A2U3TZJ3:	 GO:0004842 
FOXO3B:		 GO:0003700 GO:0043565 
PEG3:		 GO:0003676 GO:0000981 GO:0003676 GO:0046872 
MCTS2P:		 GO:0003723 
A0A3B3ISS9:	 GO:0004888 GO:0005179 
TRIM51GP:	 GO:0008270 
OR51C1P:	 GO:0004930 GO:0004984 
A0A3B3IT50:	 GO:0003824 GO:0004939 
A0A3B3ITR4:	 GO:0004497 GO:0005506 GO:0016705 GO:0020037 
A0A3B3ITS8:	 GO:0003896 
RAMACL:		 GO:0003723 
A0A3B3IU63:	 GO:0003677 GO:0046982 
RBM47:		 GO:0003723 GO:0003723 GO:0003729 GO:0003723 
TMEM129:	 GO:0046872 GO:0061630 GO:0061630 GO:0061630 GO:0061630 
E2F8:		 GO:0000978 GO:0000981 GO:0000981 GO:0000987 GO:0001227 GO:0003700 GO:0003714 GO:0005515 GO:0005515 GO:0005515 GO:0042803 GO:0008134 GO:0000981 GO:0003677 GO:0043565 GO:0003700 
UBA6:		 GO:0005515 GO:0005515 GO:0005515 GO:0005524 GO:0019780 GO:0004839 
ESYT2:		 GO:0005509 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005544 GO:0008429 GO:0031210 GO:0035091 GO:0042802 GO:0042802 GO:0045296 GO:0008429 GO:0005509 GO:0005544 GO:0035091 GO:0031210 
ESYT3:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0035091 GO:0005509 GO:0005544 GO:0031210 GO:0008429 
MED19:		 GO:0003712 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008134 
UHRF1BP1L:	 GO:0005515 GO:0005515 GO:0042803 GO:0062069 
SHTN1:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019894 GO:0045296 GO:0051015 
DHRS12:		 GO:0016491 
SLC5A10:	 GO:0015370 GO:0005412 
CIB4:		 GO:0000287 GO:0005509 GO:0005515 
SHISA3:		 GO:0005515 
FEZF1:		 GO:0000978 GO:0000981 GO:0001227 GO:0046872 
GXYLT2:		 GO:0035252 
TMEM120B:	 GO:0003674 GO:0005515 
ARHGAP10:	 GO:0005515 GO:0005096 
IRGM:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005525 GO:0019901 GO:0043539 GO:0050700 GO:0051434 GO:0003924 
FAM170A:	 GO:0003677 GO:0046872 
KRTAP23-1:	 GO:0005515 GO:0005515 
ANO9:		 GO:0005229 GO:0005515 GO:0005515 GO:0017128 GO:0005229 GO:0005229 
SLC22A23:	 GO:0005515 GO:0005515 GO:0005515 GO:0022857 
BICDL2:		 GO:0005515 GO:0017137 
ODAM:		 GO:0005515 
PXDNL:		 GO:0004519 GO:0004601 GO:0020037 GO:0046872 GO:0004601 
MEX3A:		 GO:0003723 GO:0046872 
ILVBL:		 GO:0000287 GO:0003674 GO:0005515 GO:0016740 GO:0030976 
ERICH2:		 GO:0005515 GO:0005515 GO:0005515 
UBE2QL1:	 GO:0005515 GO:0005524 GO:0061631 GO:0061631 
NDUFAF8:	 GO:0005515 
SYCE3:		 GO:0005515 GO:0005515 
PLEKHG3:	 GO:0005089 
ELOVL7:		 GO:0005515 GO:0005515 GO:0009922 GO:0102336 GO:0102337 GO:0102338 GO:0102756 GO:0009922 
MT1DP:		 GO:0005515 GO:0005515 GO:0005515 GO:0046872 
GAGE12B:	 GO:0005515 GO:0005515 
PRSS38:		 GO:0004252 
