Gene		 Terms
POLR2C:		 GO:0003677 GO:0005515 GO:0046983 GO:0001055 
POLR2E:		 GO:0003677 GO:0005515 GO:0005515 GO:0005515 GO:0001056 GO:0001055 GO:0001054 GO:0003899 
CD53:		 GO:0005515 GO:0005515 
NDUFV2:		 GO:0005515 GO:0008137 GO:0008137 GO:0008137 GO:0009055 GO:0046872 GO:0051537 GO:0003954 
ELK1:		 GO:0000978 GO:0000981 GO:0000981 GO:0000981 GO:0001085 GO:0001228 GO:0003682 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0000981 
TNNI3:		 GO:0003779 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019855 GO:0019901 GO:0019904 GO:0030172 GO:0030172 GO:0030172 GO:0031014 GO:0046872 GO:0048306 GO:0051015 GO:0051015 
TNFRSF1A:	 GO:0005031 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0043120 GO:0043120 GO:0005031 
GGT1:		 GO:0000048 GO:0002951 GO:0002951 GO:0005515 GO:0036374 GO:0036374 GO:0036374 GO:0102953 GO:0103068 GO:0036374 GO:0036374 GO:0000048 
ERCC3:		 GO:0003677 GO:0003684 GO:0004386 GO:0004386 GO:0004386 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005524 GO:0008022 GO:0008022 GO:0008134 GO:0016887 GO:0043138 GO:0043138 GO:0047485 GO:0047485 GO:0047485 GO:0004672 GO:0008094 GO:0008094 GO:0008353 GO:0003678 GO:0008134 GO:0043138 GO:0008353 
TRIM21:		 GO:0003677 GO:0003723 GO:0004842 GO:0004842 GO:0004842 GO:0004842 GO:0004842 GO:0004842 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008270 GO:0042802 GO:0042802 GO:0042802 
TFEB:		 GO:0000981 GO:0000981 GO:0000981 GO:0003700 GO:0003700 GO:0044212 GO:0046983 
EIF2AK2:	 GO:0003723 GO:0003725 GO:0004672 GO:0004672 GO:0004672 GO:0004672 GO:0004674 GO:0004694 GO:0004715 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005524 GO:0019888 GO:0042802 GO:0004672 GO:0004694 
FUT1:		 GO:0008107 GO:0008417 GO:0008107 
TFE3:		 GO:0000978 GO:0000981 GO:0000981 GO:0000981 GO:0001228 GO:0003700 GO:0005515 GO:0044212 GO:0046983 
WT1:		 GO:0000981 GO:0000981 GO:0000981 GO:0001228 GO:0001228 GO:0003700 GO:0003700 GO:0003700 GO:0003723 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008270 GO:0008270 GO:0010385 GO:0043565 GO:0043565 GO:0043565 GO:0043565 GO:0044212 GO:0044212 GO:0044212 GO:0044212 GO:0044212 GO:0044212 GO:0044729 GO:0070742 GO:0000981 
EN2:		 GO:0000981 GO:0000981 GO:0043565 
SRM:		 GO:0004766 GO:0004766 GO:0005515 GO:0042802 GO:0042803 GO:0004766 
SLC9A1:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005516 GO:0005546 GO:0015299 GO:0015385 GO:0015385 GO:0015385 GO:0015385 GO:0030346 GO:0030346 GO:0030346 GO:0030674 GO:0048306 GO:0060090 GO:0086040 GO:0015385 GO:0015386 
CSNK2A2:	 GO:0004674 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005524 GO:0047485 GO:0004674 
RXRA:		 GO:0000977 GO:0000981 GO:0000981 GO:0000981 GO:0001972 GO:0003677 GO:0003690 GO:0003700 GO:0003700 GO:0003707 GO:0003713 GO:0004879 GO:0004879 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008270 GO:0016922 GO:0019899 GO:0031490 GO:0038023 GO:0042277 GO:0042809 GO:0043565 GO:0044323 GO:0046982 GO:0046982 GO:0050692 GO:0050693 GO:0003700 GO:0044212 GO:0070644 GO:0004879 GO:0003700 GO:0044323 GO:0000977 
AOC1:		 GO:0005507 GO:0005507 GO:0005509 GO:0005509 GO:0008131 GO:0008131 GO:0008144 GO:0008144 GO:0008201 GO:0008201 GO:0008270 GO:0042803 GO:0044877 GO:0048038 GO:0048038 GO:0052597 GO:0052597 GO:0052597 GO:0052597 GO:0052598 GO:0052599 GO:0052600 GO:0008131 GO:0052597 GO:0005507 
ITIH2:		 GO:0004866 GO:0004867 
ITIH1:		 GO:0004867 GO:0005509 
CEL:		 GO:0003824 GO:0004771 GO:0004806 GO:0005515 GO:0008201 GO:0016787 GO:0042043 GO:0004806 GO:0038023 GO:0004771 
NFKB1:		 GO:0000976 GO:0000977 GO:0000980 GO:0000981 GO:0000981 GO:0000981 GO:0001227 GO:0001228 GO:0003682 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008134 GO:0042802 GO:0042802 GO:0042802 GO:0042802 GO:0042803 GO:0042805 GO:0044212 GO:0044212 GO:0046982 GO:0046982 
CXCL2:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008009 
CXCL3:		 GO:0008009 GO:0008009 
NCF2:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008022 GO:0009055 GO:0016175 GO:0048365 GO:0016176 
FST:		 GO:0005515 GO:0005515 GO:0005515 GO:0038102 GO:0043395 GO:0048185 GO:0048185 GO:0048185 
PI3:		 GO:0004866 GO:0004867 GO:0030280 
AMY2B:		 GO:0004556 GO:0046872 GO:0103025 
TYMP:		 GO:0004645 GO:0008083 GO:0009032 GO:0009032 GO:0016154 GO:0042803 GO:0009032 
ATP2B1:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005516 GO:0005524 GO:0015085 GO:0016887 GO:0046872 GO:1905056 GO:1905056 GO:1905056 GO:1905056 GO:0005388 GO:0030165 
CR2:		 GO:0001618 GO:0001848 GO:0003677 GO:0004875 GO:0004888 GO:0005515 GO:0042803 
HLA-DPA1:	 GO:0032395 GO:0042605 
EIF2S2:		 GO:0003723 GO:0003723 GO:0003743 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008135 GO:0008135 GO:0046872 GO:0003729 GO:0003743 GO:0031369 
TCN1:		 GO:0031419 
TCN2:		 GO:0005515 GO:0031419 GO:0031419 GO:0031419 GO:0046872 
ANXA7:		 GO:0003723 GO:0005178 GO:0005509 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0048306 GO:0048306 GO:0005178 GO:0042802 GO:0005544 
SDS:		 GO:0003941 GO:0003941 GO:0030170 GO:0042803 GO:0004794 GO:0003941 
CD33:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019903 GO:0019903 GO:0030246 GO:0033691 GO:0033691 GO:0038023 
PGC:		 GO:0004190 GO:0004190 
KLK2:		 GO:0004252 
SPINK2:		 GO:0004866 GO:0005515 GO:0005515 GO:0005515 GO:0004867 
AZU1:		 GO:0004252 GO:0005515 GO:0008201 GO:0008233 GO:0015643 GO:0043395 
TBP:		 GO:0000981 GO:0000987 GO:0000995 GO:0001047 GO:0001093 GO:0001103 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008134 GO:0008134 GO:0008134 GO:0008134 GO:0008134 GO:0008134 GO:0016251 GO:0016251 GO:0017162 GO:0019899 GO:0019899 GO:0044212 GO:0044212 GO:0044212 GO:0070491 GO:0001016 GO:0003700 GO:0008134 GO:0000979 GO:0000978 
TPSB2:		 GO:0004252 GO:0005515 GO:0008236 GO:0004252 
CCNA2:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019901 GO:0019901 GO:0019901 GO:0019904 GO:0097472 GO:0016538 GO:0004672 GO:0019901 
POU3F3:		 GO:0000981 GO:0000981 GO:0000981 GO:0003700 GO:0043565 GO:0071837 
POU3F2:		 GO:0000978 GO:0000981 GO:0000981 GO:0000981 GO:0001228 GO:0003700 GO:0003713 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0042802 
CD22:		 GO:0001791 GO:0005102 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019903 GO:0019903 GO:0030246 GO:0033691 GO:0033691 GO:0042609 
BTF3:		 GO:0003723 GO:0003723 GO:0005515 GO:0005515 GO:0005515 
ALOX5AP:	 GO:0005515 GO:0005515 GO:0008047 GO:0047485 GO:0050544 GO:0004364 GO:0004464 GO:0004602 
CHRM3:		 GO:0004435 GO:0005515 GO:0016907 GO:0038023 GO:0042166 GO:0004993 GO:0030594 GO:0016907 GO:0004930 
TNFRSF1B:	 GO:0005031 GO:0005031 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0031625 GO:0031625 GO:0043120 
RAB3A:		 GO:0001671 GO:0003924 GO:0003924 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005525 GO:0008022 GO:0030742 GO:0031489 GO:0051021 GO:0051117 GO:0003924 
RAB3B:		 GO:0003924 GO:0005515 GO:0005525 GO:0019003 GO:0030742 GO:0031489 GO:0003924 
RAB4A:		 GO:0001671 GO:0003924 GO:0003924 GO:0003924 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005525 GO:0005525 GO:0019003 GO:0019003 GO:0019905 GO:0035255 GO:0051117 GO:0003924 
RAB5A:		 GO:0003924 GO:0003924 GO:0003924 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005525 GO:0019003 GO:0019003 GO:0003924 
RAB6A:		 GO:0003924 GO:0003924 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005525 GO:0005525 GO:0005525 GO:0019904 GO:0019904 GO:0031489 GO:0003924 
PMCH:		 GO:0030354 GO:0031777 
NR1D1:		 GO:0000977 GO:0000978 GO:0000978 GO:0000981 GO:0000981 GO:0000981 GO:0000981 GO:0001222 GO:0001222 GO:0001227 GO:0003707 GO:0003714 GO:0004879 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008270 GO:0020037 GO:0044212 GO:0070888 GO:0000976 GO:0030374 GO:0000977 GO:0038023 GO:0000981 GO:0008134 
PVALB:		 GO:0042803 GO:0046982 GO:0005509 
MSH3:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019899 GO:0019899 GO:0032137 GO:0042803 GO:0032357 GO:0003697 GO:0030983 GO:0032139 GO:0032142 GO:0032181 GO:0030983 GO:0008094 GO:0005524 GO:0032135 GO:0005524 GO:0005524 GO:0005524 GO:0005524 GO:0005524 
MX1:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005525 GO:0042802 GO:0042802 GO:0042802 GO:0003924 GO:0008017 
MX2:		 GO:0005515 GO:0005515 GO:0005515 GO:0005525 GO:0008017 GO:0003924 
NPR2:		 GO:0004383 GO:0004383 GO:0004672 GO:0005515 GO:0005524 GO:0005525 GO:0016941 GO:0016941 GO:0016941 GO:0017046 GO:0017046 GO:0042562 GO:0042802 GO:0001653 GO:0016941 GO:0017046 GO:0004383 
PSMB1:		 GO:0004298 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0004175 
M6PR:		 GO:0004888 GO:0005515 GO:0019904 GO:1905394 GO:0005537 
ATP4A:		 GO:0000287 GO:0005524 GO:0008900 GO:0005391 
HIST1H2AD:	 GO:0003674 GO:0046982 GO:0003677 
COX5A:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0009055 GO:0046872 GO:0004129 
LMNB1:		 GO:0005198 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0043274 GO:1990837 
ITGAL:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0030369 GO:0044877 GO:0046872 GO:0046982 GO:0050839 GO:0050839 GO:0050839 GO:0050839 
ITGAX:		 GO:0005515 GO:0005515 GO:0005515 GO:0030971 GO:0038023 GO:0046872 GO:0046982 
DDC:		 GO:0004058 GO:0005515 GO:0005515 GO:0016597 GO:0019899 GO:0019904 GO:0030170 GO:0036468 
GZMH:		 GO:0004252 GO:0004252 
HOXA5:		 GO:0000978 GO:0000981 GO:0000981 GO:0000981 GO:0001228 GO:0003677 GO:0003700 GO:0003700 GO:0005515 GO:0000980 
PZP:		 GO:0004866 GO:0004867 GO:0004866 GO:0002020 
BCL3:		 GO:0003677 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008134 GO:0008134 GO:0008134 GO:0008134 GO:0008134 GO:0008134 GO:0030674 
OGN:		 GO:0005515 GO:0008083 GO:0030021 GO:0030021 GO:0030021 GO:0030021 
NTF3:		 GO:0005102 GO:0005165 GO:0005515 GO:0005515 GO:0008083 GO:0042056 GO:0008083 
MAK:		 GO:0003713 GO:0004672 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005524 GO:0046872 GO:0004674 
EDN2:		 GO:0005179 GO:0031708 
CAPN3:		 GO:0003824 GO:0004198 GO:0004198 GO:0004198 GO:0005509 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008233 GO:0008234 GO:0008307 GO:0031402 GO:0031432 GO:0031432 GO:0055103 GO:0060090 GO:0004198 GO:0004198 
IL11:		 GO:0005142 GO:0005515 GO:0005515 GO:0005515 GO:0008083 GO:0005125 GO:0008083 
CAST:		 GO:0003723 GO:0004866 GO:0005515 GO:0005515 GO:0010859 GO:0045296 GO:0010859 GO:0002020 
CYP2B6:		 GO:0004497 GO:0005506 GO:0020037 GO:0008392 GO:0020037 GO:0008395 GO:0016712 
CYP3A5:		 GO:0004497 GO:0005506 GO:0008401 GO:0016491 GO:0019825 GO:0020037 GO:0070330 GO:0101020 GO:0016725 GO:0008395 GO:0101020 GO:0050649 
HNF1A:		 GO:0000981 GO:0000981 GO:0000981 GO:0001228 GO:0003677 GO:0003700 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0044212 GO:0044212 GO:0046983 GO:0003700 
EFNA1:		 GO:0005102 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0046875 GO:0046875 
IMPDH1:		 GO:0000166 GO:0003676 GO:0003677 GO:0003723 GO:0046872 GO:0003938 
SERPINA2:	 GO:0005515 GO:0005515 GO:0004867 
COL9A1:		 GO:0030020 GO:0030020 GO:0046872 GO:0005201 
C4BPB:		 GO:0005515 
CYP2A7:		 GO:0005506 GO:0019825 GO:0070330 GO:0008395 GO:0016712 GO:0008392 GO:0020037 
COL5A1:		 GO:0005178 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008201 GO:0030020 GO:0030020 GO:0030020 GO:0030020 GO:0030020 GO:0030020 GO:0030020 GO:0043394 GO:0046872 GO:0048407 GO:0005201 GO:0008201 
MAG:		 GO:0005102 GO:0019901 GO:0030246 GO:0033691 GO:0042803 GO:1905576 
NEB:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008307 GO:0051015 
FLG:		 GO:0005198 GO:0005509 GO:0005515 GO:0030280 GO:0046914 GO:0030280 
AGA:		 GO:0003948 GO:0003948 GO:0008233 GO:0043621 GO:0003948 
RASA1:		 GO:0001784 GO:0001784 GO:0003924 GO:0005096 GO:0005102 GO:0005102 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0019870 GO:0051020 
PDC:		 GO:0004859 
CD247:		 GO:0004888 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0042802 GO:0042802 GO:0042803 GO:0042803 GO:0042803 GO:1990782 
PRPS1L1:	 GO:0000287 GO:0004749 GO:0004749 GO:0005524 GO:0016301 GO:0042803 GO:0005524 GO:0004749 
CDK11B:		 GO:0003723 GO:0004672 GO:0004674 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005524 GO:0004693 
ENDOU:		 GO:0003723 GO:0004521 GO:0005044 GO:0008083 GO:0008236 GO:0030145 GO:0030247 GO:0008236 GO:0004521 
MAL:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008289 GO:0016505 GO:0019911 GO:0019911 
FUT3:		 GO:0008417 GO:0008417 GO:0017060 GO:0046920 GO:0046920 
PTN:		 GO:0004864 GO:0005178 GO:0005515 GO:0005515 GO:0005515 GO:0008083 GO:0008201 GO:0019901 GO:0035373 GO:0035374 GO:0038085 GO:0045545 GO:1904399 GO:0008083 
GSTM3:		 GO:0004364 GO:0004364 GO:0004364 GO:0005515 GO:0005515 GO:0005515 GO:0019899 GO:0042802 GO:0042802 GO:0042802 GO:0042803 GO:0042803 GO:0043295 GO:0004364 
ATP6V1B2:	 GO:0005515 GO:0005524 GO:0015078 GO:0016787 GO:0046961 
ATP6V1C1:	 GO:0005215 GO:0005515 GO:0046961 GO:0008553 
CSRP1:		 GO:0003723 GO:0008270 GO:0042805 GO:0008307 
FLNA:		 GO:0001664 GO:0001664 GO:0003723 GO:0003723 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008134 GO:0015459 GO:0017048 GO:0017160 GO:0019900 GO:0031267 GO:0031852 GO:0034988 GO:0042803 GO:0044325 GO:0045296 GO:0046332 GO:0048365 GO:0051015 GO:0051015 GO:0051015 GO:0051015 GO:0051020 
NF1:		 GO:0005096 GO:0005096 GO:0005096 GO:0005515 GO:0005515 GO:0005515 GO:0008429 GO:0031210 
MAOA:		 GO:0008131 
ACO1:		 GO:0003723 GO:0003723 GO:0003994 GO:0003994 GO:0003994 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0030350 GO:0030350 GO:0030350 GO:0046872 GO:0051538 GO:0051539 GO:0051539 GO:0003994 GO:0030350 GO:0051539 GO:0003994 GO:0051538 
ABCB4:		 GO:0005515 GO:0005524 GO:0005548 GO:0016887 GO:0042626 GO:0042626 GO:0090554 GO:0090554 GO:0090554 GO:0090554 GO:0090554 GO:0099038 GO:0042626 
TACR2:		 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0016497 GO:0004995 
S1PR1:		 GO:0001664 GO:0004930 GO:0005515 GO:0038036 GO:0046625 
FPR1:		 GO:0001664 GO:0004982 GO:0004982 GO:0005124 GO:0005515 GO:0005515 GO:0050786 GO:0004982 GO:0004930 
ZNF10:		 GO:0000981 GO:0003677 GO:0005515 GO:0046872 
AGXT:		 GO:0005515 GO:0005515 GO:0008453 GO:0008453 GO:0008453 GO:0008453 GO:0008453 GO:0008483 GO:0008483 GO:0016597 GO:0030170 GO:0030170 GO:0030170 GO:0042802 GO:0042803 GO:0042803 GO:0042803 GO:0043621 GO:0008453 GO:0004760 
CNR1:		 GO:0004949 GO:0005515 GO:0005515 GO:0008144 GO:0099635 
SYT1:		 GO:0000149 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005516 GO:0005544 GO:0005544 GO:0005545 GO:0005546 GO:0008022 GO:0017075 GO:0017075 GO:0030348 GO:0042802 GO:0046982 GO:0048306 GO:0048306 GO:0050750 GO:0061891 GO:0005544 GO:0000149 GO:0019905 GO:0001786 GO:0005509 GO:0001786 GO:0019905 GO:0030276 GO:0005509 GO:0005544 
TNFAIP3:	 GO:0002020 GO:0003677 GO:0004842 GO:0004843 GO:0004843 GO:0004843 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0008270 GO:0019900 GO:0036459 GO:0042802 GO:0042802 GO:0043130 GO:0043621 GO:0043621 GO:0061578 GO:0061578 GO:0061578 GO:0004843 GO:0070530 
KITLG:		 GO:0005515 GO:0008083 GO:0005173 GO:0005125 
NT5E:		 GO:0000166 GO:0008253 GO:0046872 GO:0008253 
SAT1:		 GO:0004145 GO:0004145 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0042802 GO:0042802 GO:0042802 GO:0004145 GO:0008080 GO:0019809 
