MYMX	GO:0007520 GO:0014905 GO:0043403 GO:0045026 GO:0060538 GO:0060538 GO:0045026 GO:0007520 
A0A1B0GVI7	GO:0006805 GO:0009410 GO:0045944 
SPAAR	GO:0043416 GO:0071230 GO:1904262 
TRDV1	GO:0002250 GO:0045087 GO:0006955 GO:0002377 
POU6F1	GO:0006355 GO:0000122 GO:0007420 GO:0007507 GO:0007517 
CHRNA7	GO:0034220 GO:0060079 GO:0000187 GO:0001666 GO:0001934 GO:0006811 GO:0006816 GO:0006816 GO:0006874 GO:0007165 GO:0007611 GO:0007611 GO:0007611 GO:0007613 GO:0007613 GO:0007614 GO:0008284 GO:0008284 GO:0032720 GO:0032720 GO:0034220 GO:0035094 GO:0035094 GO:0035094 GO:0035094 GO:0045766 GO:0045766 GO:0050808 GO:0050890 GO:0050890 GO:0050893 GO:0050893 GO:0051247 GO:0051247 GO:0060079 GO:0070374 GO:0070374 GO:0070374 GO:0070374 GO:0070374 GO:0070588 GO:0095500 GO:0097061 GO:0098815 GO:0098815 GO:0140059 GO:1900273 GO:1900273 GO:1900273 GO:1901214 GO:1902004 GO:1902430 GO:1902991 GO:1904645 GO:1905144 GO:1905144 GO:1905906 GO:1905920 GO:2000463 GO:0050877 GO:0007271 GO:0042391 GO:0007268 GO:0007165 GO:0034220 
SCO2	GO:0006206 GO:0006206 GO:0006213 GO:0001654 GO:0006825 GO:0006878 GO:0033617 GO:0045454 GO:0055114 GO:0033617 
OR8S1	GO:0007186 GO:0050911 GO:0050911 GO:0007186 
OR7E24	GO:0007186 GO:0050911 GO:0050911 GO:0007186 
TTC26	GO:0007224 GO:0035082 GO:0035735 GO:0042073 GO:0060271 GO:0061512 GO:1905198 GO:0035720 GO:0035735 
TMEM129	GO:0000209 GO:0006986 GO:0016567 GO:0030433 GO:0030970 
E2F8	GO:0000122 GO:0000122 GO:0001890 GO:0002040 GO:0006977 GO:0008283 GO:0032466 GO:0032877 GO:0033301 GO:0045944 GO:0060707 GO:0060718 GO:0070365 GO:0000122 GO:0051726 GO:0045944 
UBA6	GO:0006511 GO:0007612 GO:0007626 GO:0016567 GO:0016567 GO:0016567 GO:0021764 GO:0021766 GO:0060996 GO:0006511 GO:0032446 
ESYT2	GO:0006687 GO:0006869 GO:0006897 GO:0061817 
ESYT3	GO:0006687 GO:0006869 GO:0061817 
TRAV38-2DV8	GO:0002250 GO:0002377 GO:0006955 
TRDV2	GO:0002250 GO:0045087 GO:0002377 GO:0006955 
TRDV3	GO:0002250 GO:0045087 GO:0006955 GO:0002377 
IGLC7	GO:0006898 GO:0006956 GO:0006958 GO:0030449 GO:0038095 GO:0038096 GO:0050776 GO:0050900 GO:0006958 GO:0006911 GO:0045087 GO:0006910 GO:0050853 GO:0042742 GO:0050871 
SHTN1	GO:0006930 GO:0007265 GO:0007409 GO:0032488 GO:0038007 GO:0045773 GO:0048812 GO:0060327 GO:0061163 GO:0061573 GO:2000114 GO:2001224 
SLC5A10	GO:0008645 GO:0035725 GO:1904659 
DAPL1	GO:0030154 GO:0034198 GO:0010507 GO:0097190 
GXYLT2	GO:0016266 
TMEM120B	GO:0008150 GO:0045444 GO:0051291 GO:0045444 
TMEM30CP	GO:0140331 GO:0045332 
ARHGAP10	GO:0007165 GO:0043547 GO:0051056 GO:0007010 GO:0043066 
IRGM	GO:0000045 GO:0001934 GO:0006954 GO:0010508 GO:0010800 GO:0031648 GO:0033138 GO:0042742 GO:0043254 GO:0045087 GO:0050821 GO:0050829 GO:0060335 GO:0061635 GO:0061739 GO:0061762 GO:0070431 GO:0071222 GO:0071902 GO:0075044 GO:0075044 GO:0098586 GO:1901098 GO:0006952 GO:0035458 
FAM170A	GO:0006366 GO:0006366 GO:0045893 GO:0045893 GO:0045893 GO:0006366 
KRTAP23-1	GO:0031424 
ANO9	GO:0006821 GO:0034220 GO:0061589 GO:0061590 GO:0061591 GO:1902939 
ODAM	GO:0001934 GO:0006954 GO:0010628 GO:0031214 GO:0032956 GO:0042475 GO:0043547 GO:0044267 GO:0060054 GO:0042475 
PXDNL	GO:0006979 GO:0042744 GO:0055114 GO:0090305 GO:0090305 GO:0098869 
ILVBL	GO:0008150 
NDUFAF8	GO:0032981 GO:0032981 
SYCE3	GO:0007130 GO:0007131 GO:0007283 GO:0043065 GO:0051301 GO:0007130 GO:0007131 
ELOVL7	GO:0006636 GO:0019367 GO:0034626 GO:0035338 GO:0042761 GO:0042761 GO:0019367 GO:0034626 GO:0030148 GO:0042761 GO:0034625 
SSC5D	GO:0006897 GO:0007275 GO:0042494 GO:0045087 GO:0050829 GO:0050830 GO:2000483 
SH3PXD2B	GO:0001501 GO:0001654 GO:0002051 GO:0006801 GO:0007507 GO:0010628 GO:0022617 GO:0040018 GO:0043085 GO:0045600 GO:0048705 GO:0051496 GO:0060348 GO:0060378 GO:0060612 GO:0071800 GO:0072657 GO:1904179 GO:1904888 GO:0006801 
FAM92A	GO:0035108 GO:0060271 
ZBTB7C	GO:0008285 GO:0045600 GO:0045944 GO:1903025 
MACROD2	GO:0006974 GO:0007420 GO:0009617 GO:0042278 GO:0051725 GO:0140291 
ZC3H12D	GO:0061158 GO:0090305 GO:0090305 
PTPDC1	GO:0035335 GO:0060271 
CCDC78	GO:0003009 GO:0030030 GO:0098535 
IGKV2-29	GO:0006898 GO:0006956 GO:0006958 GO:0030449 GO:0038095 GO:0038096 GO:0050776 GO:0050900 GO:0006955 GO:0002377 
HFM1	GO:0000712 GO:0032508 GO:0000712 
NBAS	GO:0000956 GO:0006890 GO:0006890 GO:0015031 GO:2000623 
TARSL2	GO:0006435 GO:0008150 GO:0006435 GO:0006435 
TESPA1	GO:0010387 GO:0033089 GO:0050862 GO:0050862 
HYKK	GO:0006554 GO:0016310 
